id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_numeric,price_30_days,price_category
38724903,Practico apartamento en Recoleta para 2 personas,3469227,Federico,Recoleta,-34.5868,-58.39438,Entire home/apt,"$2,655.00",3,0,,0.0,91,365,2655.0,79650.0,medium
38725056,2BR/2BA 75 m2 Minimalist Palermo Chico 30% off,45013274,Alfredo,Palermo,-34.58059,-58.40797,Entire home/apt,"$4,978.00",1,1,2019-10-08,0.15,1,178,4978.0,149340.0,high
38725481,Enlightment 1 Bedroom Loft,241771591,Giselle,Palermo,-34.58044,-58.40965,Entire home/apt,"$6,638.00",4,0,,0.0,3,88,6638.0,199140.0,high
38725578,Comparto depto - Ideal para turistas!!!,27167510,Luciana,Almagro,-34.60637,-58.43055,Shared room,$664.00,1,4,2019-12-05,0.6,1,365,664.0,19920.0,low
38727151,Apart en la Mejor Zona Turística de Buenos Aires,296115783,Maria,Retiro,-34.59516,-58.37341,Entire home/apt,"$2,323.00",4,3,2020-01-13,0.45,2,364,2323.0,69690.0,medium
38728652,Izu's,296143589,Manuel,Recoleta,-34.59304,-58.413,Shared room,"$1,195.00",1,4,2020-03-24,0.69,2,33,1195.0,35850.0,low
38729150,Friend apartment in the hearth of BA!,214630380,Joaquin,Parque Chacabuco,-34.63176,-58.43188,Entire home/apt,"$4,315.00",1,0,,0.0,3,179,4315.0,129450.0,high
38729213,Excelente ubicación. Depto para 4 personas.,232574800,Gonzalo,Almagro,-34.60387,-58.41819,Entire home/apt,"$2,124.00",2,5,2020-03-14,0.73,3,85,2124.0,63720.0,medium
38729363,Amplio Dpto Chacarita Palermo Hollywood - Queen,144967503,Lili,Chacarita,-34.58498,-58.44884,Entire home/apt,"$1,792.00",2,16,2020-03-09,2.26,2,365,1792.0,53760.0,medium
38729927,Beautiful and Compact apartment in Palermo,41494564,Diego,Palermo,-34.59027,-58.41397,Entire home/apt,"$2,323.00",3,6,2020-01-04,0.91,1,179,2323.0,69690.0,medium
38730101,"Para quienes buscan paz, verde, vistas panoràmicas",291178929,Osvaldo Antonio,Belgrano,-34.5584,-58.44764,Entire home/apt,"$1,394.00",2,8,2020-01-29,1.28,1,151,1394.0,41820.0,low
38730270,Cómoda habitación en casa de familia en Palermo,8369896,Agustina,Palermo,-34.58522,-58.41167,Private room,$664.00,2,4,2020-01-03,0.61,1,92,664.0,19920.0,low
38730491,Departamento  Completo Villa Crespo,51907447,Maria,Palermo,-34.59284,-58.4262,Entire home/apt,"$2,124.00",30,0,,0.0,1,0,2124.0,63720.0,medium
38731307,"Very Nice, Sunny and Comfortable",250745029,Patricia,Recoleta,-34.58706,-58.39873,Entire home/apt,"$2,522.00",3,18,2020-03-10,2.76,1,138,2522.0,75660.0,medium
38731903,Departamento 48 m2 cubiert + 6m2 balcon 2 amb,295210372,Cecilia,Retiro,-34.59599,-58.38349,Entire home/apt,"$1,991.00",3,13,2020-03-10,1.92,5,88,1991.0,59730.0,medium
38732553,"Habitación1 Single, Amplia, Luminosa y Confortable",296200556,Walter,San Cristóbal,-34.62274,-58.39708,Private room,$797.00,3,1,2019-10-31,0.17,4,0,797.0,23910.0,low
38733090,IMPECABLE DEPARTAMENTO!,25554962,Gisela,Belgrano,-34.56495,-58.46082,Entire home/apt,"$3,319.00",7,0,,0.0,1,0,3319.0,99570.0,high
38733492,The best location in Buenos Aires Cafe Tortoni.,175951918,Martin,Monserrat,-34.60851,-58.37813,Entire home/apt,"$2,257.00",1,12,2020-03-19,1.78,1,228,2257.0,67710.0,medium
38738312,Hermoso Studio en Recoleta,160902287,Santiago,Recoleta,-34.5863,-58.3961,Entire home/apt,"$1,859.00",2,14,2020-03-06,1.94,4,24,1859.0,55770.0,medium
38744463,Luminous Studio Apartment Ideal location. By owner,2724390,Gustavo,Retiro,-34.5984,-58.37975,Entire home/apt,"$2,788.00",3,0,,0.0,3,356,2788.0,83640.0,medium
38744915,Luminoso Apartamento en Palermo con balcón,3469227,Federico,Palermo,-34.58298,-58.40967,Entire home/apt,"$3,452.00",3,2,2019-10-12,0.29,91,360,3452.0,103560.0,high
38747463,White Freedom,669759,Oasis,Retiro,-34.58859,-58.38407,Hotel room,"$22,569.00",4,0,,0.0,43,364,22569.0,677070.0,high
38747842,Beautiful Apartment in the heart of Buenos Aires,296316515,WeHost,Constitución,-34.61979,-58.38312,Entire home/apt,"$1,593.00",5,24,2020-03-25,3.5,1,306,1593.0,47790.0,low
38747953,Portobello Road,669759,Oasis,Palermo,-34.58247,-58.44312,Hotel room,"$7,567.00",4,0,,0.0,43,345,7567.0,227010.0,high
38749909,"Cozy Studio3px, Strategic Location Buenos Aires",54867400,Tomás,Retiro,-34.59636,-58.37553,Entire home/apt,"$2,323.00",2,21,2020-03-30,2.9,1,179,2323.0,69690.0,medium
38750675,Espectacular departamento y perfecta ubicación!,270542647,Andrea,Palermo,-34.5887,-58.41272,Entire home/apt,"$4,978.00",2,23,2020-02-29,3.18,1,149,4978.0,149340.0,high
38751076,Nice and Cosy Apartment in Palermo,11256892,Facundo,Palermo,-34.58,-58.42979,Entire home/apt,"$1,925.00",2,23,2020-03-23,3.42,24,361,1925.0,57750.0,medium
38751148,The Best of the Cañitas neighborhood,13459272,Marcela,Palermo,-34.56375,-58.44216,Entire home/apt,"$2,987.00",5,5,2020-02-29,1.02,1,269,2987.0,89610.0,high
38751247,Moderno amplio y luminoso en el corazon de Bs As,56775276,Michel,San Nicolás,-34.60175,-58.37386,Entire home/apt,"$7,302.00",3,14,2020-03-19,2.47,1,148,7302.0,219060.0,high
38753096,Moderno y amplio Studio en Recoleta Square,296359872,Karina Maria,Recoleta,-34.58574,-58.3995,Entire home/apt,"$2,987.00",3,0,,0.0,1,293,2987.0,89610.0,high
38753854,Cañitas Unico. Dormitorio en suite. Hidromasaje#,251561536,Mariana,Palermo,-34.57139,-58.43298,Entire home/apt,"$3,651.00",2,0,,0.0,10,365,3651.0,109530.0,high
38754549,La zona más linda de Palermo. Cálido 3 ambientes.,164358171,Ernesto,Palermo,-34.57838,-58.4124,Entire home/apt,"$2,323.00",3,15,2020-02-24,2.31,2,22,2323.0,69690.0,medium
38755435,ROOMS FOR RENT,5850615,Pablo,Chacarita,-34.58892,-58.44198,Private room,$664.00,7,0,,0.0,1,0,664.0,19920.0,low
38758215,"Habitación2 Single, Amplia, Luminosa y Confortable",296200556,Walter,San Cristóbal,-34.62199,-58.39919,Private room,$863.00,3,0,,0.0,4,0,863.0,25890.0,low
38758437,"Habitación3 Single, Amplia, Luminosa y Confortable",296200556,Walter,San Cristóbal,-34.62258,-58.39866,Private room,$863.00,3,0,,0.0,4,0,863.0,25890.0,low
38758693,"Habitación4 single, Amplia, Luminosa y Confortable",296200556,Walter,San Cristóbal,-34.62116,-58.39777,Private room,$863.00,3,0,,0.0,4,0,863.0,25890.0,low
38759287,High Garden,80985348,Maximiliano,Recoleta,-34.59455,-58.40398,Entire home/apt,"$6,572.00",3,4,2020-02-24,1.03,6,365,6572.0,197160.0,high
38769461,Departamento Compartido Mujeres,167966741,Maria,Monserrat,-34.61255,-58.38736,Shared room,$996.00,1,0,,0.0,1,365,996.0,29880.0,low
38771801,1890's Warehouse on Puerto Madero's Dock 3,271556151,Lucia,Puerto Madero,-34.61091,-58.36665,Entire home/apt,"$3,319.00",7,5,2020-02-22,0.84,2,303,3319.0,99570.0,high
38771896,"Apartment in Palermo, Ciudad de La Paz St. (4)",296509924,Daniel,Palermo,-34.57611,-58.43894,Entire home/apt,"$3,319.00",2,7,2020-03-08,1.03,1,90,3319.0,99570.0,high
38771987,3 ambientes en Mitre y Gascon,226049318,Maxim,Almagro,-34.60933,-58.42329,Entire home/apt,"$2,191.00",6,0,,0.0,90,89,2191.0,65730.0,medium
38772162,3 ambientes en Mitre y Gascon,7786587,Maximiliano,Almagro,-34.60938,-58.42226,Entire home/apt,"$2,191.00",6,0,,0.0,99,89,2191.0,65730.0,medium
38772192,"* APARTMENT * 3 ENVIRONMENTS W/ GARAGE, CONGRESS",296176227,Omar,Monserrat,-34.60978,-58.38715,Entire home/apt,"$1,527.00",1,41,2020-03-18,6.06,2,364,1527.0,45810.0,low
38772442,2 ambientes Cochabamba y Piedras,7786587,Maximiliano,San Telmo,-34.62449,-58.37647,Entire home/apt,"$1,593.00",6,0,,0.0,99,0,1593.0,47790.0,low
38772444,2 ambientes en Cochabamba y Piedras,226049318,Maxim,San Telmo,-34.62405,-58.37651,Entire home/apt,"$1,593.00",6,0,,0.0,90,0,1593.0,47790.0,low
38772648,Hollywood Apartment,102271707,Pilar,Palermo,-34.58055,-58.43195,Entire home/apt,"$2,589.00",3,21,2020-03-18,3.07,2,304,2589.0,77670.0,medium
38772909,Dpto. Luminoso a estrenar. Muy buena ubicación.,262670595,Julieta,Constitución,-34.61853,-58.38406,Entire home/apt,"$2,655.00",3,0,,0.0,1,179,2655.0,79650.0,medium
38773077,Castex Palermo Chico,8990105,Ana,Palermo,-34.57771,-58.40382,Entire home/apt,"$5,841.00",2,0,,0.0,2,122,5841.0,175230.0,high
38774229,Departamento zona alto palermo ( 5 personas ),145146696,Agustin,Palermo,-34.5861,-58.41286,Entire home/apt,"$1,991.00",3,5,2020-01-05,0.69,2,0,1991.0,59730.0,medium
38774273,Vive La Boca en depto entero+parking fijo privado,296531212,Enrique,La Boca,-34.6383,-58.36275,Entire home/apt,"$2,788.00",2,1,2019-10-13,0.15,2,83,2788.0,83640.0,medium
38774765,Heart of Buenos Aires City!!4 peolple,1482817,Lorena,Retiro,-34.59571,-58.37498,Entire home/apt,"$1,659.00",6,0,,0.0,46,89,1659.0,49770.0,low
38775393,Amazing Studio in Palermo Hollywood,281571643,Cris,Palermo,-34.58635,-58.44081,Entire home/apt,"$3,319.00",1,2,2019-12-22,0.31,5,365,3319.0,99570.0,high
38775629,One bedroom appartment in Belgrano,3563363,Julio,Belgrano,-34.5594,-58.45244,Entire home/apt,"$1,991.00",1,1,2019-09-21,0.14,1,364,1991.0,59730.0,medium
38775845,Hotel Faena Luxury,257580606,Vanesa,Puerto Madero,-34.6152,-58.36203,Entire home/apt,"$16,595.00",2,1,2019-12-13,0.22,1,365,16595.0,497850.0,high
38776154,Studio a la calle con Amenities en Palermo Soho,224102341,Alberto,Palermo,-34.5831,-58.42783,Entire home/apt,"$1,659.00",6,7,2020-03-24,1.47,2,77,1659.0,49770.0,low
38776399,Rooftop Pool in Palermo BA,281571643,Cris,Palermo,-34.58481,-58.44182,Entire home/apt,"$3,319.00",1,0,,0.0,5,365,3319.0,99570.0,high
38776423,Great apartment in Recoleta,296550129,Gustavo,Recoleta,-34.58701,-58.40032,Entire home/apt,"$2,257.00",3,4,2020-02-29,1.07,1,0,2257.0,67710.0,medium
38776719,Mono ambiente luminoso categoría AAA,154494676,Noe,Villa Crespo,-34.59624,-58.44745,Entire home/apt,"$1,593.00",1,9,2020-04-11,1.82,2,364,1593.0,47790.0,low
